,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
296,26.5,355.15,329.15,26.0,0.6799437913132514,0.325,-1138.9962831136852,-1055.6120697926776,-83.38421332100756,Al2O3 DI Water 60,60
297,27.0,355.35,329.65,25.700000000000003,0.6799437913132514,0.32125,-1139.6377001392316,-1057.2156123565433,-82.42208778268832,Al2O3 DI Water 60,60
298,27.5,355.75,330.15,25.599999999999994,0.6799437913132514,0.3199999999999999,-1140.920534190324,-1058.819154920409,-82.10137926991501,Al2O3 DI Water 60,60
299,28.0,355.95,330.65,25.3,0.6799437913132514,0.31625,-1141.5619512158703,-1060.4226974842743,-81.139253731596,Al2O3 DI Water 60,60
300,28.5,356.15,330.65,25.5,0.713274369318803,0.31875,-1000.5002012121804,-928.8653419368452,-71.63485927533509,Al2O3 DI Water 60,60
301,29.0,356.54999999999995,330.9,25.65000000000001,0.713274369318803,0.320625,-1001.6238852792444,-929.5676444787604,-72.05624080048415,Al2O3 DI Water 60,60
302,29.5,356.95,331.65,25.3,0.713274369318803,0.31625,-1002.7475693463086,-931.6745521045056,-71.07301724180309,Al2O3 DI Water 60,60
303,30.0,357.54999999999995,331.65,25.90000000000001,0.713274369318803,0.3237500000000001,-1004.4330954469048,-931.6745521045056,-72.75854334239921,Al2O3 DI Water 60,60
304,30.5,358.15,331.65,26.5,0.713274369318803,0.33125,-1006.1186215475008,-931.6745521045056,-74.44406944299533,Al2O3 DI Water 60,60
305,31.0,358.15,331.65,26.5,0.7466049473243546,0.33125,-870.128820773822,-805.7468195159516,-64.38200125787034,Al2O3 DI Water 60,60
306,31.5,357.54999999999995,332.15,25.40000000000001,0.7799355253299061,0.3175,-738.8395334899632,-686.3531004018774,-52.48643308808573,Al2O3 DI Water 60,60
307,32.0,356.54999999999995,336.9,19.65000000000001,0.8132661033354576,0.245625,-612.7233777735581,-578.9552824902868,-33.76809528327135,Al2O3 DI Water 60,60
308,32.5,356.35,338.9,17.450000000000003,0.8132661033354576,0.218125,-612.3796821472653,-582.3922387532151,-29.98744339405016,Al2O3 DI Water 60,60
